,surface_type,liquid_type,diameter,height,fall_point_type,id,time,area,circumstance,circularity,finger_num,velocity,circle_radius
672,7,0,25,40,9,130,0.026,6.027912000000001e-06,0.0111743159208297,0.6066453546535404,13.0,0.0,0.001404
673,7,0,25,40,9,134,0.0268,5.949360000000001e-06,0.0115745799851417,0.5580455282128929,12.0,0.18,0.001404
674,7,0,25,40,9,135,0.027,5.897016000000001e-06,0.0108441392812728,0.6301616885376627,11.0,-0.12,0.00138
675,7,0,25,40,9,138,0.0276,5.826888000000001e-06,0.0102705514011383,0.6941590876199115,9.0,0.06,0.001368
676,7,0,25,40,9,139,0.0278,5.808240000000001e-06,0.0102834042320251,0.6902089739715379,11.0,0.0,0.001368
677,7,0,25,40,9,140,0.028,5.795856000000001e-06,0.0105772276153564,0.6510041398925758,13.0,-0.06,0.001356
678,8,0,18,40,9,96,0.0192,1.1677392e-05,0.0204451028108596,0.3510565865903348,24.0,0.3,0.00192
679,8,0,18,40,9,113,0.0226,4.473720000000001e-06,0.0100370812897682,0.5580380084841838,13.0,3.54,0.001188
680,8,0,18,40,9,114,0.0228,5.176656e-06,0.0108511687130928,0.5524667411452315,15.0,0.48,0.001284
681,8,0,18,40,9,116,0.0232,6.467832000000001e-06,0.0114077860164642,0.6245480579923661,10.0,6.3,0.00144
682,8,0,18,40,9,118,0.0236,7.527960000000001e-06,0.0120434327902793,0.6522086886268192,13.0,0.24,0.001548
683,8,0,18,40,9,119,0.0238,7.987680000000002e-06,0.0124865799779891,0.64378894611284,14.0,0.24,0.001596
684,8,0,18,40,9,121,0.0242,8.834256e-06,0.0138614024720191,0.5777839809590924,16.0,0.3,0.00168
685,8,0,18,40,9,122,0.0244,9.218016e-06,0.0139508725905418,0.5951748576491592,13.0,0.18,0.001716
686,8,0,18,40,9,125,0.025,1.0105776000000002e-05,0.0151559894571304,0.552854619341645,15.0,0.18,0.0018
687,8,0,18,40,9,131,0.0262,1.1308176000000002e-05,0.0171150474615097,0.4851166801919613,20.0,0.3,0.001896
688,8,0,18,40,9,132,0.0264,1.1447784000000002e-05,0.0175756647791862,0.465701641876893,21.0,0.06,0.001908
689,8,0,18,40,9,140,0.028,1.2320424000000002e-05,0.01636060678339,0.5784112143201224,23.0,0.06,0.001968
690,8,0,20,20,9,126,0.0252,5.651928000000001e-06,0.0103614345402717,0.6615561475371795,8.0,0.3,0.001344
691,8,0,20,20,9,127,0.0254,6.103152000000001e-06,0.0104479929785728,0.702584082186644,9.0,0.24,0.001392
692,8,0,20,20,9,129,0.0258,6.868152000000001e-06,0.0112521392841339,0.6816784474908841,9.0,0.18,0.001476
693,8,0,20,20,9,139,0.0278,9.160776e-06,0.0150910188961029,0.5054811933168637,15.0,0.12,0.001704
694,8,0,20,20,9,140,0.028,9.326016e-06,0.014506283838272,0.5569211080023416,15.0,0.12,0.001728
695,8,0,20,20,9,139,0.0278,5.655960000000001e-06,0.010714904677391,0.6190697307464644,9.0,0.3,0.001344
696,8,0,20,20,9,140,0.028,6.068376000000001e-06,0.0110807280364036,0.6210774405185339,10.0,0.24,0.001392
697,8,0,20,20,9,141,0.0282,6.434712000000001e-06,0.011466433660984,0.6150101060478836,16.0,0.24,0.00144
698,8,0,20,40,9,103,0.0206,1.1186208000000002e-05,0.0213663374547958,0.3079162351031793,24.0,0.24,0.001908
699,8,0,20,40,9,105,0.021,1.1602008000000002e-05,0.0224883071379661,0.2882899457543754,25.0,-0.06,0.001932
700,8,0,20,40,9,97,0.0194,1.12248e-05,0.0268450386915206,0.1957313570401171,27.0,-0.12,0.001884
701,8,0,20,40,9,132,0.0264,1.0909800000000002e-05,0.0291673009858131,0.1611514310946199,18.0,5.699999999999999,0.001908
702,8,0,20,40,9,93,0.0186,1.152576e-05,0.0214259842071533,0.3154989187124573,25.0,0.12,0.00192
703,8,0,20,40,9,137,0.0274,9.999792000000002e-06,0.0173022232103347,0.4197560938662033,16.0,0.12,0.001788
704,8,0,20,40,9,139,0.0278,9.883944e-06,0.0156183123950958,0.5091806951075739,16.0,-0.9,0.001764
705,8,0,25,20,9,124,0.0248,5.037552000000001e-06,0.0101054630899429,0.619893333524587,15.0,0.06,0.001272
706,8,0,25,20,9,125,0.025,5.091768000000001e-06,0.0103806102962493,0.593789750385162,16.0,0.0,0.001272
707,8,0,25,20,9,127,0.0254,5.147928000000001e-06,0.0107920215396881,0.5554394487447148,15.0,0.06,0.001284
708,8,0,25,20,9,128,0.0256,5.157792000000001e-06,0.0107311687431335,0.5628331129463131,18.0,0.0,0.001284
709,8,0,25,20,9,129,0.0258,5.159952000000001e-06,0.0109512864918708,0.5406612506530027,20.0,0.0,0.001284
710,8,0,25,20,9,131,0.0262,5.1883200000000005e-06,0.0105912864961624,0.5812181748746615,15.0,0.06,0.001284
711,8,0,25,20,9,132,0.0264,5.180544000000001e-06,0.0111185799922943,0.5266069431005176,13.0,0.0,0.001284
712,8,0,25,20,9,139,0.0278,5.056704e-06,0.0117939912257194,0.4568312407222322,16.0,0.0,0.001272
713,8,0,25,20,9,140,0.028,5.042304000000001e-06,0.0113743444776535,0.489763184214482,14.0,-0.06,0.00126
714,8,0,25,20,9,141,0.0282,4.993488000000001e-06,0.0117593436255455,0.4537824671688613,16.0,0.0,0.00126
715,8,0,25,40,9,112,0.0224,6.449544000000001e-06,0.0159046067762374,0.320400364666538,17.0,0.0,0.001464
716,8,0,25,40,9,114,0.0228,6.332472000000001e-06,0.0145712543992996,0.3747910927964784,13.0,0.0,0.00144
717,8,0,25,40,9,126,0.0252,5.735304000000001e-06,0.012289256152153,0.4772161289366478,9.0,-0.06,0.001356
718,8,0,25,40,9,127,0.0254,5.699736000000001e-06,0.0118373739051818,0.5111564825040007,10.0,0.0,0.001356
719,8,0,25,40,9,129,0.0258,5.656896000000001e-06,0.011252638850212,0.5614089053889906,10.0,6.239999999999999,0.001344
720,8,0,25,40,9,131,0.0262,5.621688e-06,0.010712492544651,0.6155956432395137,11.0,6.239999999999999,0.001344
721,8,0,25,40,9,134,0.0268,5.555376e-06,0.0107808743491172,0.6006415249275233,11.0,0.0,0.001332
722,8,0,25,40,9,139,0.0278,5.401872000000001e-06,0.0101616986160278,0.6573876379044492,7.0,6.06,0.001308
723,8,0,25,40,9,95,0.019,7.250256000000001e-06,0.0161773418354988,0.3481359562560092,20.0,0.0,0.001524
724,8,0,25,40,9,116,0.0232,7.236288000000001e-06,0.0168338699598312,0.3208911733682619,19.0,0.0,0.001524
725,8,0,25,40,9,117,0.0234,7.175520000000001e-06,0.0167601643295288,0.3210012313480495,17.0,-0.06,0.001512
726,8,0,25,40,9,123,0.0246,6.875280000000001e-06,0.0152437539696693,0.3718059986213191,14.0,0.0,0.001488
727,8,0,25,40,9,131,0.0262,6.529752000000001e-06,0.0132427262735366,0.4678986008243396,12.0,0.06,0.001464
728,8,0,25,40,9,135,0.027,6.363432000000001e-06,0.0126732561764717,0.4978801870907806,15.0,0.0,0.00144
729,8,0,25,40,9,140,0.028,6.130800000000001e-06,0.0128424622192382,0.467122104902168,14.0,-0.06,0.001404
730,0,0,18,20,4,141,0.0282,1.1576952000000002e-05,0.0169907227735519,0.5039418070615495,21.0,0.12,0.001932
731,0,0,18,20,1,122,0.0244,1.0032264000000002e-05,0.0145376059198379,0.59651728453225,23.0,0.24,0.001788
732,0,0,18,20,1,123,0.0246,1.0401192e-05,0.0151458413858413,0.5697786455901399,23.0,0.12,0.001812
733,0,0,18,20,1,125,0.025,1.0992456000000002e-05,0.0160595470161438,0.5355968542523879,28.0,0.12,0.001872
734,0,0,18,20,1,127,0.0254,1.1463480000000002e-05,0.0163814881453514,0.5368088138343234,28.0,0.06,0.001908
735,0,0,18,20,1,128,0.0256,1.1642256000000002e-05,0.0166185764565467,0.5297358559220328,22.0,0.06,0.00192
736,0,0,18,20,1,129,0.0258,1.1778048e-05,0.01643410546875,0.548013231347291,21.0,0.06,0.001932
737,0,0,18,20,1,130,0.026,1.1891664000000002e-05,0.0162983409619331,0.5625559152838232,24.0,0.06,0.001944
738,0,0,18,20,1,131,0.0262,1.1954736e-05,0.0161824587063789,0.5736682826227237,22.0,0.06,0.001956
739,0,0,18,20,1,133,0.0266,1.2031992000000002e-05,0.0159361357741355,0.5953623350828308,21.0,0.0,0.001956
740,0,0,18,20,1,134,0.0268,1.2040272000000002e-05,0.0164457522096633,0.5594208867708573,21.0,0.0,0.001956
741,0,0,18,20,1,136,0.0272,1.2069648000000002e-05,0.0152752829661369,0.6500188341419165,17.0,0.0,0.001956
742,0,0,18,20,1,139,0.0278,1.2008736e-05,0.0156328708190917,0.6174896507535836,15.0,0.0,0.001956
743,0,0,18,20,1,140,0.028,1.1986488000000002e-05,0.015731782523632,0.6086196231373201,18.0,0.0,0.001956
744,1,0,18,20,4,140,0.028,1.1332656000000002e-05,0.0163158110761642,0.5349636018936348,15.0,0.12,0.001908
745,1,0,18,20,4,141,0.0282,1.1511216e-05,0.0172171634788513,0.4879865599903472,18.0,0.06,0.00192
746,1,0,18,20,1,129,0.0258,9.738072e-06,0.0143576665234565,0.5936290167368753,20.0,0.24,0.001764
747,1,0,18,20,1,130,0.026,1.0134144000000002e-05,0.0147421660723686,0.5859685894862919,17.0,0.18,0.0018
748,1,0,18,20,1,132,0.0264,1.0753848000000002e-05,0.0158343123950958,0.5389833382440129,23.0,0.12,0.001848
749,1,0,18,20,1,134,0.0268,1.1212776e-05,0.0164559002838134,0.5203310183933048,21.0,0.12,0.001896
750,1,0,18,20,1,138,0.0276,1.1758536e-05,0.0156323712801933,0.604663000129795,21.0,0.06,0.001932
751,1,0,18,20,7,138,0.0276,6.018264000000001e-06,0.0150827834000587,0.3324437022752427,19.0,5.76,0.001392
752,1,0,18,20,7,139,0.0278,6.629616000000001e-06,0.0156534595928192,0.3399989414829252,19.0,0.36,0.001464
753,1,0,18,20,7,140,0.028,7.189776000000001e-06,0.0164563998270034,0.3336226771508757,20.0,0.3,0.001524
754,1,0,18,20,7,141,0.0282,7.700976e-06,0.0170622232146263,0.3324178952767816,23.0,0.24,0.001572
755,1,0,18,20,7,131,0.0262,7.152624000000001e-06,0.0155962249531745,0.3695185783249636,19.0,0.3,0.001524
756,1,0,18,20,7,132,0.0264,7.624728000000001e-06,0.0159145478768348,0.3783080732406744,22.0,0.24,0.001572
757,1,0,18,20,7,133,0.0266,8.037144000000002e-06,0.0164799002680778,0.3718796857725712,22.0,0.24,0.00162
758,1,0,18,20,7,134,0.0268,8.402112000000002e-06,0.016950458714962,0.3674814481629749,20.0,0.18,0.001656
759,1,0,18,20,7,135,0.027,8.713800000000001e-06,0.0174127816414833,0.3611446153005774,21.0,0.12,0.00168
760,1,0,18,20,7,136,0.0272,8.986032000000001e-06,0.0179669868378639,0.3498060573112978,19.0,0.12,0.001704
761,1,0,18,20,7,137,0.0274,9.21384e-06,0.0184809279499053,0.3390025637547296,19.0,0.12,0.001728
762,1,0,18,20,7,138,0.0276,9.408744e-06,0.0191211920313835,0.3233788333980268,20.0,0.12,0.001752
763,1,0,18,20,7,140,0.028,9.678096000000002e-06,0.0199277504539489,0.3062550350433022,21.0,0.0,0.001764
764,1,0,18,20,7,141,0.0282,9.772488e-06,0.0203280144968032,0.297183769023369,18.0,0.12,0.001788
765,2,0,18,20,4,139,0.0278,5.535216e-06,0.0105052276067733,0.6302799681621372,13.0,5.88,0.001332
766,2,0,18,20,1,123,0.0246,8.693928000000002e-06,0.0124243141551017,0.7077519177000517,14.0,0.24,0.001656
767,2,0,18,20,1,124,0.0248,9.187272e-06,0.0128024907903671,0.7043807752488179,13.0,0.24,0.001704
768,2,0,18,20,1,125,0.025,9.627624e-06,0.0133561963949203,0.6782087552566443,20.0,0.24,0.001752
769,2,0,18,20,1,126,0.0252,1.002816e-05,0.0134791081023216,0.6935995550009219,14.0,0.18,0.001788
770,2,0,18,20,1,127,0.0254,1.0389312000000002e-05,0.0139848137140274,0.6675492024199273,17.0,0.18,0.001824
771,2,0,18,20,1,129,0.0258,1.0956528e-05,0.0150517539696693,0.6077270890389975,20.0,0.18,0.001872
772,2,0,18,20,1,131,0.0262,1.1387520000000002e-05,0.0151957539668083,0.6197185700849906,20.0,0.12,0.001908
773,2,0,18,20,1,133,0.0266,1.1718576e-05,0.0148597539639472,0.6669011516961733,21.0,0.12,0.001932
774,2,0,18,20,1,134,0.0268,1.1839248e-05,0.0146951652145385,0.6889457664184844,21.0,0.06,0.001944
775,2,0,18,20,1,135,0.027,1.1937168000000002e-05,0.0145395184664726,0.7095959421230622,18.0,0.0,0.001944
